country,project,id,year,month,date,site,treatment,plot_id,functional_group,family,name_2020,genus,species,individual_nr,plant_height_cm,nr_leaves,bulk,wet_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,dry_mass_total_g,number_leaves_scan,leaf_area_total_cm2,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc,leaf_thickness_ave_mm,area_flag,dry_flag,wet_flag
PE,Puna,ADV0573,2019,April,2019-04-10,ACJ,C,1,Forb,Orchidaceae,Cyrtochilum mystacinum,Cyrtochilum,mystacinum,1,16,1,NA,0.512,0.431,0.405,0.421,0.072,1,12.6542,0.512,0.072,12.6542,175.7527777777778,0.140625,0.419,NA,NA,NA
PE,Puna,ADW1442,2019,April,2019-04-10,ACJ,C,1,Forb,Orchidaceae,Cyrtochilum mystacinum,Cyrtochilum,mystacinum,3,22,1,NA,1.662,0.658,0.603,0.619,0.217,1,28.4864,1.662,0.217,28.4864,131.273732718894,0.1305655836341757,0.6266666666666667,NA,NA,NA
PE,Puna,ADZ7346,2019,April,2019-04-10,ACJ,C,1,Forb,Orchidaceae,Cyrtochilum mystacinum,Cyrtochilum,mystacinum,2,28,1,NA,3.418,0.184,0.226,0.264,0.422,1,52.6006,3.418,0.422,52.6006,124.64597156398105,0.12346401404330017,0.22466666666666668,NA,NA,NA
PE,Puna,AED8353,2019,April,2019-04-10,TRE,C,2,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum,bonplandianum,5,13,2,NA,0.147,0.093,0.107,0.09,0.032,2,10.2764,0.0735,0.016,5.1382,321.1375,0.217687074829932,0.09666666666666666,NA,NA,NA
PE,Puna,AEE6142,2019,April,2019-04-10,TRE,C,1,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,4,32,8,NA,0.115,0.373,0.371,0.418,0.068,8,3.9293,0.014375,0.0085,0.4911625,57.78382352941176,0.591304347826087,0.3873333333333333,NA,NA,NA
PE,Puna,AEG7050,2019,April,2019-04-10,TRE,C,1,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,5,12,8,NA,0.122,0.36,0.413,0.477,0.058,8,3.3051,0.01525,0.00725,0.4131375,56.984482758620686,0.4754098360655738,0.41666666666666663,NA,NA,NA
PE,Puna,AEJ7535,2019,April,2019-04-10,TRE,C,2,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum,bonplandianum,2,7,2,NA,0.115,0.077,0.085,0.079,0.037,2,6.2753,0.0575,0.0185,3.13765,169.60270270270271,0.3217391304347826,0.08033333333333334,NA,NA,NA
PE,Puna,AEL0229,2019,April,2019-04-10,TRE,C,2,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum,bonplandianum,3,13,2,NA,0.193,0.093,0.083,0.075,0.051,2,11.2446,0.0965,0.0255,5.6223,220.4823529411765,0.26424870466321243,0.08366666666666667,NA,NA,NA
PE,Puna,AEN1802,2019,April,2019-04-10,TRE,C,2,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum,bonplandianum,4,13,2,NA,0.225,0.08,0.085,0.099,0.057,2,15.2371,0.1125,0.0285,7.61855,267.3175438596491,0.25333333333333335,0.08800000000000001,NA,NA,NA
PE,Puna,AEQ7314,2019,April,2019-04-10,TRE,C,3,Forb,Euphobiaceae,Euphorbia huanchahana,Euphorbia,huanchahana,3,6,6,NA,0.05,0.158,0.163,0.123,0.021,6,3.8543,0.008333333333333333,0.0035,0.6423833333333333,183.53809523809522,0.42000000000000004,0.148,NA,NA,NA
PE,Puna,AES8454,2019,April,2019-04-10,TRE,C,1,Forb,Asteraceae,Perezia pungens,Perezia,pungens,1,10,4,NA,1.183,0.192,0.17,0.208,0.243,4,45.6708,0.29575,0.06075,11.4177,187.9456790123457,0.20540997464074387,0.19,NA,NA,NA
PE,Puna,AEU3174,2019,April,2019-04-10,TRE,C,2,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum,bonplandianum,1,11,2,NA,0.135,0.085,0.09,0.081,0.036,2,9.1288,0.0675,0.018,4.5644,253.5777777777778,0.2666666666666666,0.08533333333333333,NA,NA,NA
PE,Puna,AEW8920,2019,April,2019-04-10,TRE,C,3,Forb,Euphobiaceae,Euphorbia huanchahana,Euphorbia,huanchahana,1,10,7,NA,0.058,0.186,0.154,0.174,0.021,7,3.9753,0.008285714285714287,0.003,0.5679,189.29999999999998,0.3620689655172413,0.17133333333333334,NA,NA,NA
PE,Puna,AEX3622,2019,April,2019-04-11,PIL,C,3,Forb,Rosaceae,Lachemilla jamesonii,Lachemilla,jamesonii,4,4,4,NA,0.116,0.167,0.178,0.189,0.047,4,4.5505,0.029,0.01175,1.137625,96.81914893617022,0.4051724137931034,0.178,NA,NA,NA
PE,Puna,AEZ0394,2019,April,2019-04-12,ACJ,B,2,Gramminoid,Poaceae,Calamagrostis tarmensis,Calamagrostis,tarmensis,2,38,2,NA,0.317,0.453,0.555,0.495,0.127,2,7.2713,0.1585,0.0635,3.63565,57.25433070866142,0.40063091482649843,0.501,NA,NA,NA
PE,Puna,AFB1345,2019,April,2019-04-10,TRE,C,1,Woody,Asteraceae,Baccharis caespitosa,Baccharis,caespitosa,5,4,NA,Bulk,0.018,0.179,0.146,0.132,0.007,19,1.203,9.473684210526315e-4,3.6842105263157896e-4,0.06331578947368421,171.85714285714286,0.3888888888888889,0.15233333333333332,NA,NA,NA
PE,Puna,AFE6197,2019,April,2019-04-10,TRE,C,3,Forb,Euphobiaceae,Euphorbia huanchahana,Euphorbia,huanchahana,2,4,8,NA,0.06,0.142,0.16,0.151,0.015,8,4.4001,0.0075,0.001875,0.5500125,293.34000000000003,0.25,0.151,NA,NA,NA
PE,Puna,AFH9174,2019,April,2019-04-11,PIL,C,3,Forb,Rosaceae,Lachemilla jamesonii,Lachemilla,jamesonii,3,4,3,NA,0.095,0.209,0.19,0.204,0.041,3,3.7743,0.03166666666666667,0.013666666666666667,1.2581,92.0560975609756,0.431578947368421,0.20099999999999998,NA,NA,NA
PE,Puna,AFK1906,2019,April,2019-04-10,ACJ,C,1,Woody,Ericaceae,Gaultheria vaccinioides,Gaultheria,vaccinioides,4,12,5,NA,0.162,0.377,0.423,0.41,0.055,5,3.647,0.0324,0.011,0.7293999999999999,66.30909090909091,0.3395061728395062,0.4033333333333333,NA,NA,NA
PE,Puna,AFL0488,2019,April,2019-04-10,ACJ,C,1,Woody,Ericaceae,Gaultheria vaccinioides,Gaultheria,vaccinioides,1,8,10,NA,0.18,0.43,0.414,0.448,0.071,10,4.9618,0.018,0.0070999999999999995,0.49618,69.88450704225353,0.39444444444444443,0.43066666666666664,NA,NA,NA
PE,Puna,AFM4165,2019,April,2019-04-10,ACJ,C,1,Woody,Ericaceae,Gaultheria vaccinioides,Gaultheria,vaccinioides,3,15,6,NA,0.148,0.49,0.482,0.416,0.052,6,3.6189,0.024666666666666667,0.008666666666666666,0.60315,69.59423076923076,0.3513513513513513,0.46266666666666667,NA,NA,NA
PE,Puna,AFN4501,2019,April,2019-04-10,ACJ,C,1,Woody,Ericaceae,Gaultheria vaccinioides,Gaultheria,vaccinioides,5,16,6,NA,0.125,0.447,0.457,0.408,0.046,9,2.7481,0.013888888888888888,0.005111111111111111,0.3053444444444444,59.74130434782608,0.36800000000000005,0.43733333333333335,NA,NA,NA
PE,Puna,AFO2714,2019,April,2019-04-10,TRE,C,1,Gramminoid,Poaceae,Agrostis mertensii,Agrostis,mertensii,1,14,5,NA,0.047,0.161,0.173,0.152,0.026,5,2.6537,0.0094,0.0052,0.53074,102.06538461538462,0.553191489361702,0.162,NA,NA,NA
PE,Puna,AFP7889,2019,April,2019-04-12,TRE,C,1,Gramminoid,Poaceae,Agrostis mertensii,Agrostis,mertensii,3,16,5,NA,0.039,0.153,0.153,0.12,0.023,5,2.4584,0.0078,0.0046,0.49168,106.88695652173914,0.5897435897435898,0.142,NA,NA,NA
PE,Puna,AFR3015,2019,April,2019-04-10,TRE,C,2,Woody,Ericaceae,Pernettya prostrata,Pernettya,prostrata,2,4,4,NA,0.062,0.291,0.31,0.346,0.023,4,2.2937,0.0155,0.00575,0.573425,99.72608695652174,0.3709677419354839,0.31566666666666665,NA,NA,NA
PE,Puna,AFS1830,2019,April,2019-04-10,TRE,C,2,Woody,Ericaceae,Pernettya prostrata,Pernettya,prostrata,5,11,10,NA,0.13,0.221,0.275,0.311,0.06,10,5.1683,0.013000000000000001,0.006,0.51683,86.13833333333334,0.4615384615384615,0.269,NA,NA,NA
PE,Puna,AFT5067,2019,April,2019-04-10,TRE,C,2,Woody,Ericaceae,Pernettya prostrata,Pernettya,prostrata,3,12,10,NA,0.101,0.361,0.324,0.388,0.047,10,3.4229,0.010100000000000001,0.0047,0.34229,72.82765957446807,0.4653465346534653,0.3576666666666667,NA,NA,NA
PE,Puna,AFU0711,2019,April,2019-04-10,ACJ,C,5,Forb,Orchidaceae,Pterichis sp1,Pterichis,sp1,1,15,1,NA,0.333,0.347,0.353,0.355,0.033,1,6.881,0.333,0.033,6.881,208.5151515151515,0.0990990990990991,0.3516666666666666,NA,NA,NA
PE,Puna,AFV9709,2019,April,2019-04-10,TRE,C,2,Woody,Ericaceae,Pernettya prostrata,Pernettya,prostrata,4,12,10,NA,0.129,0.329,0.251,0.297,0.067,10,4.2465,0.0129,0.0067,0.42465,63.38059701492538,0.5193798449612403,0.29233333333333333,NA,NA,NA
PE,Puna,AFW5729,2019,April,2019-04-10,ACJ,C,1,Woody,Ericaceae,Gaultheria vaccinioides,Gaultheria,vaccinioides,2,22,10,NA,0.128,0.397,0.354,0.427,0.044,10,2.8583,0.0128,0.004399999999999999,0.28583,64.96136363636364,0.34374999999999994,0.39266666666666666,NA,NA,NA
PE,Puna,AGA9227,2019,April,2019-04-10,TRE,C,3,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris,taraxacoides,3,3,3,NA,0.198,0.22,0.149,0.209,0.028,3,5.7692,0.066,0.009333333333333334,1.9230666666666665,206.04285714285712,0.1414141414141414,0.19266666666666665,NA,NA,NA
