country,project,id,year,month,date,site,treatment,plot_id,functional_group,family,name_2020,genus,species,individual_nr,plant_height_cm,nr_leaves,bulk,wet_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,dry_mass_total_g,number_leaves_scan,leaf_area_total_cm2,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc,leaf_thickness_ave_mm,area_flag,dry_flag,wet_flag
PE,PFTC5,AEH3515,2020,March,2020-03-12,ACJ,C,3,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,11.2,5,NA,0.075,0.223,0.208,0.208,0.0213,1,3.01,0.015,0.00426,0.602,141.31455399061034,0.28400000000000003,0.213,NA,NA,NA
PE,PFTC5,AEG5038,2020,March,2020-03-12,ACJ,C,3,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,11.2,4,NA,0.101,0.238,0.235,0.215,0.0288,1,3.819,0.02525,0.0072,0.95475,132.60416666666666,0.2851485148514851,0.22933333333333333,NA,NA,NA
PE,PFTC5,AEA4811,2020,March,2020-03-12,ACJ,C,3,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,1,6.4,2,NA,0.055,0.276,0.279,0.317,0.0127,1,1.864,0.0275,0.00635,0.932,146.7716535433071,0.2309090909090909,0.2906666666666667,NA,NA,NA
PE,PFTC5,ACV7342,2020,March,2020-03-12,ACJ,C,4,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,8,4,NA,0.254,0.309,0.244,0.28,0.07,4,6.176,0.0635,0.0175,1.544,88.22857142857143,0.27559055118110237,0.2776666666666667,NA,NA,NA
PE,PFTC5,AAK1305,2020,March,2020-03-12,ACJ,C,3,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,1,6.4,3,NA,0.057,0.265,0.277,0.273,0.0131,1,1.916,0.019,0.004366666666666667,0.6386666666666666,146.2595419847328,0.2298245614035088,0.27166666666666667,NA,NA,NA
PE,PFTC5,ACZ6300,2020,March,2020-03-12,ACJ,C,4,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,8,3,NA,0.272,0.308,0.299,0.303,0.0742,3,6.332999999999999,0.09066666666666667,0.024733333333333333,2.1109999999999998,85.35040431266846,0.2727941176470588,0.30333333333333334,NA,NA,NA
PE,PFTC5,AVH1607,2020,March,2020-03-12,ACJ,C,3,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,3,3.3,1,NA,0.104,0.277,0.307,0.299,0.0284,1,2.817,0.104,0.0284,2.817,99.19014084507042,0.2730769230769231,0.29433333333333334,NA,NA,NA
PE,PFTC5,AUN0427,2020,March,2020-03-12,ACJ,C,4,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,8,1,NA,0.237,0.33,0.279,0.277,0.0662,3,5.683,0.237,0.0662,5.683,85.84592145015107,0.27932489451476794,0.29533333333333334,NA,NA,NA
PE,PFTC5,AVK6985,2020,March,2020-03-12,ACJ,C,3,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,3,3.3,3,NA,0.056,0.329,0.309,0.295,0.018,1,1.992,0.018666666666666668,0.005999999999999999,0.664,110.66666666666669,0.32142857142857134,0.311,NA,NA,NA
PE,PFTC5,AVL7448,2020,March,2020-03-12,ACJ,C,3,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,3,3.3,4,NA,0.02,0.267,0.255,NA,0.068,1,1.066,0.005,0.017,0.2665,15.676470588235293,3.4000000000000004,0.261,NA,NA,NA
