site,month,treatment,plot_id,functional_group,family,taxon,name_2020,note_taxonomy
WAY,July,B,5,Fern,Lycopodiaceae,Lycopodiella Cernua,Lycopodium thyoides,NA
WAY,July,B,5,Fern,Lycopodiaceae,Lycopodium Clavatum,Lycopodium clavatum,NA
WAY,July,B,5,Gramminoid,Poaceae,Not Stipa,Calamagrostis tarmensis,NA
WAY,July,B,5,Gramminoid,Poaceae,Paspalum Bonplandianum,Paspalum bonplandianum,NA
WAY,July,B,5,Forb,Orchidaceae,Pterichis Sp1,Pterichis sp1,NA
WAY,July,B,5,Gramminoid,Cyperaceae,Rhynchospora Brillante,Rhynchospora aristata,NA
WAY,July,B,5,Forb,Iridaceae,Sisyrinchium Vaginatum,Sisyrinchium vaginatum,NA
WAY,July,B,5,Forb,Asteraceae,Stevia Small,Stevia pennellii,NA
WAY,July,C,1,Gramminoid,Poaceae,Agrostis Sp2,Agrostis mertensii,NA
WAY,July,C,1,Forb,Rosaceae,Alchemilla Orbiculata,Lachemilla orbiculata,NA
WAY,July,C,1,Forb,Asteraceae,Aphanactis Sp1,Aphanactis villosa,NA
WAY,July,C,1,Woody,Asteraceae,Baccharis Genistelloides,Baccharis genistelloides,NA
WAY,July,C,1,Gramminoid,Poaceae,Bromus Lanatus,Bromus lanatus,NA
WAY,July,C,1,Gramminoid,Poaceae,Calamagrostis Beauty Hairy,Danthonia secundiflora,NA
WAY,July,C,1,Gramminoid,Cyperaceae,Carex Boliviensis,Carex boliviensis,NA
WAY,July,C,1,Gramminoid,Poaceae,Festuca Blue,Festuca dolichophylla,NA
WAY,July,C,1,Forb,Rubiaceae,Galium Corymbosum,Galium corymbosum,NA
WAY,July,C,1,Forb,Asteraceae,Gnaphalium Dombeyanum,Gnaphalium dombeyanum,NA
WAY,July,C,1,Forb,Gentianaceae,Halenia Umbellata,Halenia umbellata,NA
WAY,July,C,1,Fern,Lycopodiaceae,Lycopodiella Cernua,Lycopodium thyoides,NA
WAY,July,C,1,Forb,Rubiaceae,Nertera Granadensis,Nertera granadensis,NA
WAY,July,C,1,Gramminoid,Poaceae,Not Stipa Softer,Calamagrostis cf. amoena,"before Calamagrostis tarmensis, changed by lucely"
WAY,July,C,1,Gramminoid,Poaceae,Paspalum Bonplandianum,Paspalum bonplandianum,NA
WAY,July,C,1,Forb,Asteraceae,Senecio Pegajoso,Senecio burkartii,NA
WAY,July,C,1,Forb,Asteraceae,Stevia Sp,Stevia pennellii,NA
WAY,July,C,1,Forb,Asteraceae,Werneria Nubigena,Werneria nubigena,NA
WAY,July,C,2,Gramminoid,Poaceae,Agrostis Sp2,Agrostis mertensii,NA
WAY,July,C,2,Woody,Asteraceae,Baccharis Genistelloides,Baccharis genistelloides,NA
WAY,July,C,2,Gramminoid,Poaceae,Calamagrostis Beauty,Calamagrostis cf. amoena,NA
WAY,July,C,2,Gramminoid,Poaceae,Calamagrostis Beauty Hairy,Danthonia secundiflora,NA
WAY,July,C,2,Gramminoid,Cyperaceae,Carex Pedunculado Largo,Carex cf. crinalis,NA
WAY,July,C,2,Fern,Pteridaceae,Eriosorus Cheilanthoides,Eriosorus cheilanthoides,NA
WAY,July,C,2,Gramminoid,Poaceae,Festuca Blue,Festuca dolichophylla,NA
WAY,July,C,2,Forb,Gentianaceae,Gentiana Sedifolia,Gentiana sedifolia,NA
WAY,July,C,2,Forb,Asteraceae,Gnaphalium Dombeyanum,Gnaphalium dombeyanum,NA
WAY,July,C,2,Forb,Asteraceae,Hieracium Sp1,Hieracium cf. mandonii,NA
WAY,July,C,2,Fern,Lycopodiaceae,Lycopodium Clavatum,Lycopodium clavatum,NA
WAY,July,C,2,Forb,Rubiaceae,Nertera Granadensis,Nertera granadensis,NA
