id,year,date,month,site,treatment,plot_id,taxon,plant_height_cm,individual_nr,nr_leaves,bulk,wet_mass_total_g,dry_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,leaf_area_total_cm2,number_leaves_scan
IZA4904,2019,2019-11-22T00:00:00Z,November,QUE,C,3,Aphanactis sp1,1,1,5,"NA",0.028,0.008,0.165,0.217,0.201,1.8691,5
IZB2387,2019,2019-11-22T00:00:00Z,November,QUE,C,1,Carex pichinchensis,20,1,1,"NA",0.272,0.12,0.401,0.385,0.25,11.4206,1
IZC0494,2019,2019-11-23T00:00:00Z,November,ACJ,NB,3,Hieracium sp1,9,1,2,"NA",0.383,0.061,0.365,0.377,0.378,9.9338,2
IZD4607,2019,2019-11-23T00:00:00Z,November,ACJ,NB,1,Jamesonia alstonii,23,3,1,"NA",0.245,0.101,0.357,0.433,0.47,3.9358,1
IZE0437,2019,2019-11-22T00:00:00Z,November,QUE,C,1,Paspalum bonplandianum,5.6,2,4,"NA",0.133,0.052,0.146,0.14,0.13,7.5194,4
IZF6499,2019,2019-11-23T00:00:00Z,November,ACJ,NB,3,Hieracium sp1,9,3,2,"NA",0.389,0.083,0.364,0.363,0.326,11.5057,2
IZG3045,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Mini bromus,9,1,5,"NA",0.036,0.03,0.214,0.161,0.154,2.2143,5
IZH1722,2019,2019-11-22T00:00:00Z,November,QUE,C,1,Euphorbia thymifolia,2,3,10,"NA",0.051,0.017,0.277,0.278,0.271,2.8062,10
IZI5948,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Gamochaeta americana,2.5,3,3,"NA",0.131,0.04,0.268,0.252,0.235,5.4037,3
IZJ8752,2019,2019-11-24T00:00:00Z,November,TRE,B,3,Agrostis sp2,4,2,6,"NA",0.02,0.011,0.2,0.193,0.225,1.5273,6
IZK5147,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Gentianella ernestii,2.5,3,5,"NA",0.137,0.042,0.566,0.524,0.439,3.2209,5
IZL7758,2019,2019-11-23T00:00:00Z,November,ACJ,NB,3,Jamesonia alstonii,10,2,2,"NA",0.294,0.111,0.345,0.32,0.312,5.7113,2
IZM5690,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Gentiana sedifolia,2.5,2,NA,Bulk,0.18,0.069,0.108,0.13,0.163,8.4008,NA
IZN7834,2019,2019-11-24T00:00:00Z,November,TRE,B,5,Alchemilla sectada,2.5,3,4,"NA",0.021,0.015,0.211,0.192,0.202,1.6706,4
IZO5406,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Baccharis caespitosa,6.5,1,NA,Bulk,0.442,0.242,0.2,0.239,0.348,18.5464,357
IZP8040,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Gamochaeta americana,1.5,2,3,"NA",0.103,0.033,0.268,0.247,0.207,4.2768,3
IZQ5270,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Gentianella ernestii,4,2,5,"NA",0.145,0.059,0.423,0.349,0.47,5.2755,5
IZR3018,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Gentianella ernestii,2,1,5,"NA",0.142,0.044,0.476,0.461,0.469,3.552,5
