id,dry_weight_g,observations
BLM6514,0.0261,NA
BLE6180,0.038,NA
CRI0809,0.2634,NA
CRA5252,0.2237,NA
CQK2630,0.1458,NA
CRE5297,0.5539,NA
CRF2083,0.3809,NA
CRJ4958,0.4035,NA
BLI6737,0.0363,NA
BMT3246,0.0248,NA
BLA0567,0.0167,NA
BLT2632,0.0195,NA
BLP6539,0.0181,NA
BLL3724,0.0196,NA
BML1189,0.0342,NA
BLV4744,0.0404,NA
BLR4957,0.0896,NA
BMP6395,0.2547,NA
BAJ5053,0.0353,NA
BAK4546,0.0316,NA
BBQ7082,0.0372,NA
BBB1123,0.02368,NA
AHL5228,0.0196,AHL522BCU8
AHM4164,0.1268,NA
AHN7253,0.0195,NA
BBZ1433,0.1437,NA
BCD3125,0.1455,NA
BCH3510,0.1218,NA
BBJ6370,0.1474,NA
BBF2504,0.3162,NA
BHY2343,0.1107,NA
BBN2864,0.019,NA
BBR4554,0.0211,NA
AZK4604,0.0184,NA
BCU4388,0.03,NA
AYY7742,0.0189,NA
AWB0237,0.0161,NA
BAW3818,0.0231,NA
BAS8693,0.0571,NA
BBA5533,0.0417,NA
BCB3365,0.21,NA
BBS0819,0.3477,NA
BIH0217,0.0263,NA
BAM2811,0.042,NA
BFX6210,0.0719,NA
BDR3415,0.0995,NA
BDQ8286,0.155,NA
BDU230,0.072,NA
BHV0771,0.0919,NA
BID2754,0.052,NA
BGE1203,0.0485,NA
BHZ4268,0.0406,NA
BFW3433,0.04,NA
BGF6708,0.0307,NA
AAQ9095,0.0089,NA
AAP4494,0.009,NA
AAO3522,0.0147,NA
AEB9826,0.0135,NA
ACA8496,0.0212,NA
ABA6252,0.0187,NA
ABB6047,0.0133,NA
AAZ5543,0.0207,NA
AAN5188,0.0124,NA
ABW0088,0.0094,NA
AAS2586,0.0096,NA
AAR1903,0.0106,NA
AED4690,0.011,NA
ACB4434,0.088,NA
ADJ9799,0.0396,NA
ADI7562,0.047,NA
ADH8686,0.055,NA
ADG5859,0.0527,NA
ADE5822,0.0446,NA
AVC5700,0.0531,NA
ADB5258,0.0506,NA
ADC3290,0.0559,NA
AEC5667,0.0078,NA
APN9462,0.0445,NA
CMQ4234,0.0255,NA
SEAN1,0.0734,NA
CZC2236,0.0565,NA
CZG2289,0.0796,NA
ASE3950,0.0849,NA
ASJ2613,0.0954,NA
CRZ2722,0.118,NA
CSD6563,0.0423,NA
CRY5506,0.1222,NA
ATI0785,0.0224,NA
ADT1647,0.0328,NA
ADS8840,0.0239,NA
ATN8453,0.022,NA
ABP2684,0.0242,NA
ACT9517,0.029,NA
ASS5005,0.0082,NA
ABQ1404,0.0065,NA
ASN2155,0.0077,NA
ASR6625,0.007,NA
ACU2880,0.0072,NA
AUO6988,0.0036,NA
AUP3248,0.0236,NA
ASP0769,0.0211,NA
ASQ7083,0.0204,NA
BIX3249,0.2623,NA
BJB1336,0.3853,NA
BFG1747,0.3459,NA
BBW3917,0.4622,NA
BCJ9646,0.4585,NA
BAX2075,0.0343,NA
BAT8676,0.0418,NA
BAP6673,0.0396,NA
BAL4822,0.0439,NA
BAH2272,0.0362,NA
BAN5621,0.0332,NA
AWY5774,0.0106,NA
BZK5513,0.0316,NA
BXS0867,0.0218,NA
BWB8893,0.0298,NA
BUR9600,0.0033,NA
BUV5121,0.0041,NA
BUZ7503,0.031,NA
CWD5069,0.069,NA
CMP2483,0.09098,NA
CML0422,0.0615,NA
BVO0844,0.1201,NA
BVK5789,0.09,NA
BVG2196,0.0716,NA
ASI7818,0.053,NA
AKT6450,0.0626,NA
AKP1497,0.0262,NA
AKS1170,0.0424,NA
AXT6653,0.0089,NA
AXS7546,0.0161,NA
AXR0939,0.0242,NA
AXQ2447,0.0185,NA
AXP2627,0.0136,NA
BDX0315,0.025,NA
BEB2759,0.0345,NA
AJL5468,0.0485,NA
AXF5867,0.0298,NA
AXE8216,0.0174,NA
BCN5504,0.0201,NA
BCA7821,0.0052,NA
AJD7146,0.0224,NA
AIZ2577,0.019,NA
AIV2675,0.0184,NA
BXH1373,0.0245,NA
BXD6709,0.0569,NA
AYM5154,0.0146,NA
BWZ7163,0.0603,NA
AYP4181,0.0178,NA
AYQ4724,0.0158,NA
AZJ1578,0.0027,NA
BCE4857,0.0109,NA
BJN7481,0.0113,NA
BJQ7085,0.0123,NA
AWX2425,0.0091,NA
AYR2897,0.0102,NA
AYL1856,0.0142,NA
AYS4952,0.0239,NA
AKJ0837,0.0167,NA
AKK2945,0.0175,NA
AKL1344,0.0232,NA
BVL6152,0.0205,NA
BVP4602,0.0174,NA
BVX5494,0.0325,NA
