id,day,site,elevation,genus,species,project,experiment,plot_id,individual_nr,leaf_nr,plant_height_cm,plant_length_cm,bulk_nr_leaves,length_cm,wet_mass_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,remark,notes1,notes2
AWP2046,12,ACJ,NA,Eriosorus,cheilantoides,T,C,4,1,NA,30,NA,NA,NA,0.475,0.108,0.088,0.151,NA,NA,NA
AEZ3585,12,ACJ,NA,Paspalum,bonplandianum,T,C,3,3,4,14,16,NA,NA,0.063,0.196,0.147,0.153,NA,NA,NA
AWR9211,12,ACJ,NA,Eriosorus,cheilantoides,T,C,4,2,NA,41,NA,NA,NA,0.876,0.154,0.152,0.174,NA,NA,NA
ABT4493,12,ACJ,NA,Paspalum,bonplandianum,T,C,1,1,2,18,20.5,NA,NA,0.072,0.085,0.105,0.163,NA,NA,NA
AUM3741,12,ACJ,NA,Paspalum,bonplandianum,T,C,1,2,2,9.5,12,NA,NA,0.027,0.089,0.093,0.103,NA,NA,NA
ABS7148,12,ACJ,NA,Paspalum,bonplandianum,T,C,1,1,4,18,20.5,NA,NA,0.048,0.096,0.088,0.112,NA,NA,NA
AUR9891,12,ACJ,NA,Eriosorus,cheilantoides,T,C,1,1,NA,32,NA,NA,NA,0.791,0.201,0.123,0.188,NA,NA,NA
ACI4396,12,ACJ,NA,Paspalum,bonplandianum,T,C,5,2,1,20,NA,NA,NA,0.089,0.079,0.1,0.125,NA,NA,NA
ASM0021,12,ACJ,NA,Paspalum,bonplandianum,T,C,1,1,4,18,20.5,NA,NA,0.062,0.085,0.097,0.145,NA,NA,NA
ABQ1404,12,ACJ,NA,Paspalum,bonplandianum,T,C,2,2,4,NA,NA,NA,NA,0.026,0.097,0.093,0.101,NA,NA,NA
BFX6210,12,ACJ,NA,Gaultheria,glomerata,T,C,2,1,5,15.6,NA,NA,NA,0.162,0.46,0.448,0.448,NA,NA,NA
BDR3415,12,ACJ,NA,Gaultheria,glomerata,T,C,2,1,4,15.6,NA,NA,NA,0.226,0.525,0.529,0.51,NA,NA,NA
BDQ8286,12,ACJ,NA,Gaultheria,glomerata,T,C,2,1,3,15.6,NA,NA,NA,0.235,0.534,0.526,0.549,NA,NA,NA
BGE1203,12,ACJ,NA,Gaultheria,glomerata,T,C,2,2,4,10.1,NA,NA,NA,0.121,0.433,0.46,0.451,NA,NA,NA
BID2754,12,ACJ,NA,Gaultheria,glomerata,T,C,2,2,5,10.1,NA,NA,NA,0.139,0.491,0.464,0.465,NA,NA,NA
BFW3433,12,ACJ,NA,Gaultheria,glomerata,T,C,2,2,2,10.1,NA,NA,NA,0.107,0.415,0.41,0.416,NA,NA,NA
BHZ4268,12,ACJ,NA,Gaultheria,glomerata,T,C,2,2,3,10.1,NA,NA,NA,0.11,0.484,0.494,0.466,NA,NA,NA
BED4523,12,ACJ,NA,Gaultheria,glomerata,T,C,5,3,1,12.5,NA,NA,NA,0.167,0.459,0.472,0.464,NA,NA,NA
