month,site,treatment,plot_id,functional_group,family,taxon,name_2020,notes
April,TRE,B,4,Gramminoid,Cyperaceae,Carex tristicha,Carex pygmaea,NA
April,TRE,B,3,Gramminoid,Poaceae,Not stipa,Calamagrostis tarmensis,NA
April,WAY,B,2,Forb,Orchidaceae,Pterichis sp1,Pterichis sp1,NA
April,WAY,B,3,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum bonplandianum,NA
April,WAY,B,3,Forb,Orchidaceae,Cyrtochilum mystacinum,Cyrtochilum mystacinum,NA
April,WAY,C,3,Gramminoid,Cyperaceae,Carex pedunculado largo,Carex cf. crinalis,NA
April,WAY,C,5,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
April,PIL,C,2,Gramminoid,Cyperaceae,Carex pichinchensis,Carex pichinchensis,NA
April,PIL,C,4,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
April,PIL,C,5,Gramminoid,Cyperaceae,Carex pichinchensis,Carex pichinchensis,NA
April,PIL,C,1,Forb,Caryophyllaceae,Cerastium arvense,Cerastium arvense,NA
April,PIL,C,3,Fern,Dryopteridaceae,Elaphoglossum huacsaro,Elaphoglossum huacsaro,NA
April,PIL,C,2,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
April,PIL,C,4,Forb,Orchidaceae,Gomphichis sp1,Gomphichis valida,NA
April,PIL,C,3,Woody,Asteraceae,Baccharis genistelloides,Baccharis genistelloides,NA
April,PIL,C,3,Gramminoid,Juncaceae,Luzula narrow,Luzula racemosa,NA
April,PIL,C,2,Woody,Polygonaceae,Muehlenbeckia volcanica,Muehlenbeckia volcanica,NA
April,ACJ,B,2,Fern,Lycopodiaceae,Lycopodium clavatum,Lycopodium clavatum,NA
April,ACJ,B,5,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
April,WAY,C,5,Gramminoid,Cyperaceae,Carex pedunculado largo,Carex cf. crinalis,NA
April,ACJ,B,5,Forb,Violaceae,Viola wedelii,Viola thymifolia,NA
April,ACJ,B,5,Gramminoid,Poaceae,Agrostis sp2,Agrostis mertensii,NA
